rank,regionId,name,pixels,countryId
1,157869,Buenos Aires #3,270689615,10
2,101820,Matsue #8,249459156,110
3,139923,Lima #2,209993503,172
4,156828,Santiago #7,187673535,44
5,103367,Tokyo #1,186124584,110
6,133789,Leticia #29,148968461,48
7,116339,Mexico City #1,148854962,140
8,157870,Buenos Aires #4,146177202,10
9,116340,Iztapalapa #1,135829322,140
10,82230,Moscow #2,133308195,181
11,148670,São Paulo #1,125477770,31
12,90372,Paris #5,113344625,75
13,115607,Hanoi #1,112578286,242
14,127639,Bogotá #1,109691942,48
15,111730,Monterrey #1,106268127,140
16,116851,Tlalpan #1,98519916,140
17,106290,Jerusalem #1,94861937,107
18,162071,Cape Town #473,90686498,205
19,101813,Seoul #1,88885193,207
20,81718,Moscow #1,85288422,181
21,99067,Madrid #4,82668834,209
22,156315,Viña del Mar #5,80999504,44
23,120749,Antipolo #2,79495023,173
24,102135,Sevilla #8,75134631,209
25,106802,Jerusalem #2,74895201,107
26,158382,La Plata #2,72818450,10
27,123288,Ho Chi Minh City #1,72517364,242
28,89860,Paris #4,71739300,75
29,159897,Talcahuano #512,71319666,44
30,101624,Sevilla #6,70902006,209
31,126613,Medellín #9,69918628,48
32,116852,Puebla #1,69853822,140
33,88364,Kyiv #8,66026271,232
34,86302,Warsaw #1,65621762,175
35,156330,Rosario #6,65554169,10
36,143008,Oruro #3,63957364,26
37,144039,Santa Cruz de la Sierra #25,61380900,26
38,102149,Algiers #6,61286861,3
39,116853,Puebla #2,61014384,140
40,98455,New York City #1,60907138,235
41,102648,Tangier #1,58828156,147
42,98090,Istanbul #1,58573000,230
43,158381,Merlo #6,58564924,10
44,148163,Rio de Janeiro #1,58173450,31
45,122774,Phnom Penh #4,58121623,38
46,131217,Quito #4,57383055,63
47,103161,Tétouan #1,56613809,147
48,157357,Buenos Aires #1,55906549,10
49,157873,Montevideo #2,55804287,237
50,155301,Córdoba #25,55579892,10
51,148669,Sorocaba #1,54825117,31
52,128660,Cali #4,54518528,48
53,115309,Zapopan #6,54502757,140
54,157340,Puente Alto #2,54336654,44
55,118681,Huế #3,53922601,242
56,103875,Nagoya #1,53389341,110
57,114595,Shenzhen #2,53230996,45
58,106074,Tijuana #4,52577402,140
59,106803,Jerusalem #3,51402396,107
60,105280,Baghdad #2,51332381,104
61,115310,Zapopan #7,51221992,140
62,111218,Ciudad Apodaca #2,50313641,140
63,103744,Kirkuk #2,48947725,104
64,153784,Porto Alegre #2,48916986,31
65,156316,Santiago #5,48385473,44
66,98052,Barcelona #3,48026119,209
67,98555,Madrid #2,47990552,209
68,97027,Terrassa #1,45791553,209
69,139924,Huancayo #14,45685348,172
70,87296,London #2,45330451,234
71,86836,Kursk #7,45278848,181
72,102136,Sevilla #9,45050661,209
73,88860,Kraków #3,44647067,175
74,115608,Haiphong #1,44396721,242
75,150191,Asunción #11,44377604,171
76,139411,Lima #1,44165348,172
77,99987,Washington #2,43837257,235
78,148162,Volta Redonda #1,43494302,31
79,91912,Dijon #8,42937063,75
80,88325,Gent #3,42830330,21
81,103368,Chiba #1,42760652,110
82,156827,Viña del Mar #6,42274345,44
83,87307,Köln #2,41617167,82
84,104385,Osaka #1,41560498,110
85,145602,Belo Horizonte #1,41507281,31
86,115312,León de los Aldama #4,41102550,140
87,100647,İzmir #3,40983040,230
88,77082,Stockholm #6,40943704,214
89,88859,Katowice #2,40721364,175
90,106801,Gaza #1,40637025,168
91,123529,San José #1,40555844,52
92,107314,Gaza #2,40079910,168
93,123286,Takeo #2,40060706,38
94,87818,Köln #4,39622404,82
95,103879,Yokohama #1,39529970,110
96,87306,Köln #1,39434385,82
97,153755,Coquimbo #160,39358661,44
98,123799,Cần Thơ #1,39178214,242
99,89861,Marne La Vallée #3,39082152,75
100,115822,Tonalá #1,38786769,140
101,128148,Cali #2,38659648,48
102,76076,Saint Petersburg #18,38498394,181
103,139922,Callao #5,38007404,172
104,96515,Andorra la Vella #1,37569860,5
105,98051,Barcelona #2,37523516,209
106,127637,Ibagué #2,37424466,48
107,123289,Biên Hòa #3,37320654,242
108,97540,Terrassa #4,37083057,209
109,156829,Santiago #8,37070685,44
110,105779,Irbid #1,36967851,112
111,90382,Stuttgart #7,36966301,82
112,99584,Valencia #6,36840773,209
113,99238,Beijing #1,36789193,45
114,127125,Pereira #1,36440403,48
115,104536,Los Angeles #1,36402161,235
116,87815,Brussels #2,36326619,21
117,158363,Talca #4,36153634,44
118,97554,Rome #3,36092175,108
119,127127,Tunja #2,35913907,48
120,148158,Campinas #2,35785957,31
121,95499,Nice #2,35750852,75
122,155306,Santa Fe #16,35683007,10
123,111729,Saltillo #4,35541906,140
124,158385,Montevideo #5,35536893,237
125,82229,Zelenograd #4,35514010,181
126,156319,Mendoza #4,35185136,10
127,101623,Sevilla #5,35070181,209
128,113776,San Luis Potosí #1,34997139,140
129,150202,Curitiba #1,34932428,31
130,142493,Puno #9,34835342,172
131,97412,Chicago #7,34815656,235
132,132751,Guayaquil #4,34683198,63
133,105562,Tijuana #1,34299381,140
134,90897,Munich #4,34276717,82
135,93447,Lyon #5,33955587,75
136,96008,Marseille #7,33697612,75
137,88861,Kraków #4,33375304,175
138,159898,Chillán #2,33347250,44
139,99578,Toledo #1,33303582,209
140,148671,São José dos Campos #2,33246784,31
141,109422,Delhi #1,33036159,101
142,143007,Oruro #2,32987920,26
143,143003,Arequipa #14,32963370,172
144,101301,Goyang-si #1,32864206,207
145,112451,Riyadh #15,32772901,194
146,88326,Brussels #3,32702463,21
147,157868,Merlo #2,32663932,10
148,115825,Santiago de Querétaro #5,32531214,140
149,102138,Málaga #3,32341944,209
150,148159,São José dos Campos #1,32313428,31
151,126101,Medellín #7,32201288,48
152,115821,Zapopan #9,32140954,140
153,106601,Ciudad Juárez #9,31959537,140
154,127638,Ibagué #3,31796768,48
155,89859,Paris #3,31783846,75
156,90904,Vienna #4,31734740,14
157,102649,Málaga #5,31729130,209
158,86303,Praga Południe #2,31579191,175
159,102332,Matsue #11,31249888,110
160,157358,Buenos Aires #2,31203583,10
161,149182,Santos #1,31188226,31
162,85780,Berlin #7,31128575,82
163,146119,Serra #3,31091695,31
164,123552,Valencia #2,31091642,241
165,115827,Nicolás Romero #1,31010139,140
166,149156,Salta #5,30775281,10
167,127128,Tunja #3,30725235,48
168,114289,San Luis Potosí #3,30652166,140
169,88845,Wiesbaden #6,30635682,82
170,86791,Rotterdam #3,30630975,153
171,102287,Xining #9,30558647,45
172,116338,Morelia #4,30516008,140
173,91917,Zürich #4,30507015,215
174,100608,Alicante #1,30354782,209
175,96110,Almaty #6,30338833,113
176,115828,Pachuca de Soto #3,30283985,140
177,81719,Elektrostal’ #1,30216314,181
178,157872,Montevideo #1,30146561,237
179,84751,Hamburg #5,30144207,82
180,104290,Kabul #1,30130473,1
181,123030,Barranquilla #20,30027584,48
182,91916,Zürich #3,29995291,215
183,101459,San Jose #1,29922560,235
184,127640,Bogotá #2,29908332,48
185,157656,Sydney #19,29807968,13
186,103880,Ichihara #1,29793475,110
187,115826,Santiago de Querétaro #6,29632602,140
188,102719,Erbil #2,29603642,104
189,89865,Metz #3,29413721,75
190,139410,Callao #2,29389792,172
191,103232,Erbil #5,29310348,104
192,91902,Nantes #9,29235187,75
193,99119,Ankara #4,29186337,230
194,113537,Dhaka #1,29149907,18
195,116162,Uruma #117,29101877,110
196,150203,Colombo #3,29096283,31
197,163993,Puerto Montt #11,29056756,44
198,123800,Vũng Tàu #1,29018364,242
199,96009,Marseille #8,28974413,75
200,101119,Murcia #5,28944001,209
201,38595,Ilulissat #2241,28930707,86
202,104537,Anaheim #1,28865151,235
203,115001,Jeddah #13,28860496,194
204,98602,Bursa #2,28838351,230
205,136848,Trujillo #7,28751324,172
206,156314,Valparaíso #55,28653663,44
207,91915,Basel #2,28609229,215
208,103864,Busan #1,28602253,207
209,103874,Kyoto #4,28442154,110
210,150195,Ciudad del Este #8,28333068,171
211,123553,Petare #2,28316070,241
212,88853,Prague #5,28291240,57
213,98036,Porto #3,28261504,176
214,93959,Lyon #6,28167715,75
215,161448,Bahía Blanca #22,28061547,10
216,149181,Sorocaba #2,28009543,31
217,95995,Santander #9,27997221,209
218,144034,Cochabamba #6,27953947,26
219,100595,Lisbon #3,27887771,176
220,143519,Tacna #4,27756029,172
221,151739,Florianópolis #5,27750565,31
222,84264,Minsk #10,27747782,20
223,89353,Metz #1,27741453,75
224,90878,Rennes #6,27722767,75
225,151204,San Miguel de Tucumán #17,27705544,10
226,136911,Recife #1,27680282,31
227,116856,Veracruz #18,27640369,140
228,132239,Guayaquil #2,27612726,63
229,87819,Köln #5,27546544,82
230,102855,Ōta #1,27491159,110
231,87314,Halle (Saale) #5,27329655,82
232,88327,Brussels #4,27320606,21
233,90377,Nancy #1,27165733,75
234,95996,Bilbao #9,27129415,209
235,156331,Rosario #7,27092104,10
236,93961,Genève #9,27057959,215
237,86795,Münster #4,27010500,82
238,87812,Lille #2,26974383,75
239,154789,Córdoba #18,26954345,10
240,121231,Bangkok #1,26937943,220
241,116119,Thanh Hóa #2,26885573,242
242,90371,Saint-Quentin-en-Yvelines #1,26832964,75
243,90884,Paris #6,26799407,75
244,94471,Saint-Étienne #3,26776230,75
245,139412,Huancayo #9,26534366,172
246,93448,Genève #6,26465854,215
247,29309,Yellowknife #2853,26463548,40
248,81797,Krasnoyarsk #83,26296342,181
249,154296,Porto Alegre #5,26292630,31
250,119427,San Pedro Sula #1,26291281,97
251,88324,Lille #3,26278779,75
252,89869,Stuttgart #3,26271158,82
253,157356,José C. Paz #4,26259068,10
254,116120,Haiphong #2,26242066,242
255,125593,Cúcuta #5,26178051,48
256,175276,Stanley #309,26134860,71
257,87817,Köln #3,26126485,82
258,83319,Novosibirsk #79,26119449,181
259,104695,Rabat #1,26074912,147
260,80727,Yekaterinburg #11,26072864,181
261,147651,Nova Iguaçu #1,26057392,31
262,157339,Valparaíso #68,25951601,44
263,160943,Mar del Plata #14,25931539,10
264,108643,Hermosillo #22,25925347,140
265,92426,Lausanne #1,25868145,215
266,120962,San Salvador #1,25865062,65
267,89868,Karlsruhe #4,25851157,82
268,82231,Lyubertsy #1,25828897,181
269,106291,Amman #1,25826565,112
270,115313,Santiago de Querétaro #3,25825789,140
271,101154,Athens #9,25824916,85
272,131726,Portoviejo #1,25806922,63
273,94236,Anchorage #9956,25708040,235
274,138421,Sinop #32,25662751,31
275,86292,Berlin #10,25646037,82
276,119934,Quetzaltenango #1,25624092,90
277,114799,León de los Aldama #1,25582854,140
278,105206,Casablanca #9,25514405,147
279,106304,Najaf #1,25469831,104
280,140436,Huancayo #18,25462669,172
281,105279,Baghdad #1,25443662,104
282,140954,Cusco #17,25427055,172
283,161231,Melbourne #17,25413101,13
284,159896,Talcahuano #511,25376126,44
285,157851,Rancagua #1,25319654,44
286,103160,Tangier #3,25319154,147
287,97539,Barcelona #1,25264258,209
288,130452,Singapore #1,25260214,199
289,86812,Łódź #6,25225839,175
290,98556,Ciudad Lineal #2,25195110,209
291,119936,Guatemala City #1,25076029,90
292,92427,Bern #1,25063346,215
293,157871,La Plata #1,24991214,10
294,98089,Bağcılar #1,24989988,230
295,123285,Takeo #1,24987736,38
296,116854,Puebla #3,24965266,140
297,130195,Pasto #5,24908682,48
298,100096,Valencia #9,24822055,209
299,135576,Jakarta #1,24792051,102
300,148157,Campinas #1,24715319,31
301,93966,Milan #3,24701248,108
302,116343,Veracruz #13,24677092,140
303,157655,Sydney #18,24598831,13
304,91961,Rostov-na-Donu #4,24535494,181
305,88348,Kraków #1,24517539,175
306,143520,Oruro #5,24513404,26
307,135823,Chiclayo #11,24497992,172
308,94494,Belgrade #4,24483886,196
309,142524,Brasília #2,24440051,31
310,115329,Mérida #56,24423465,140
311,158383,Montevideo #3,24388240,237
312,90380,Karlsruhe #5,24361092,82
313,121990,Managua #4,24294806,156
314,89345,Rouen #5,24190986,75
