rank,regionId,name,pixels
1,157869,Buenos Aires #3,262800229
2,101820,Matsue #8,241456016
3,139923,Lima #2,208952988
4,156828,Santiago #7,186807634
5,103367,Tokyo #1,182520106
6,133789,Leticia #29,145616650
7,116339,Mexico City #1,145277248
8,157870,Buenos Aires #4,145148934
9,116340,Iztapalapa #1,134947576
10,82230,Moscow #2,131169893
11,148670,São Paulo #1,122128667
12,115607,Hanoi #1,111501852
13,90372,Paris #5,111131878
14,127639,Bogotá #1,108643313
15,111730,Monterrey #1,105147696
16,116851,Tlalpan #1,97004253
17,106290,Jerusalem #1,93598747
18,162071,Cape Town #473,89057124
19,101813,Seoul #1,87637014
20,81718,Moscow #1,84328449
21,99067,Madrid #4,80799219
22,156315,Viña del Mar #5,79787403
23,120749,Antipolo #2,78352877
24,102135,Sevilla #8,74609086
25,106802,Jerusalem #2,74400755
26,158382,La Plata #2,71618537
27,123288,Ho Chi Minh City #1,71609563
28,89860,Paris #4,70319554
29,159897,Talcahuano #512,70010822
30,101624,Sevilla #6,68961804
31,116852,Puebla #1,68855394
32,126613,Medellín #9,68479870
33,156330,Rosario #6,65125763
34,88364,Kyiv #8,64572508
35,86302,Warsaw #1,63269293
36,143008,Oruro #3,63230481
37,144039,Santa Cruz de la Sierra #25,61052549
38,102149,Algiers #6,60972422
39,98455,New York City #1,59996835
40,116853,Puebla #2,59814124
41,102648,Tangier #1,57984199
42,122774,Phnom Penh #4,57888813
43,148163,Rio de Janeiro #1,57758222
44,158381,Merlo #6,57549525
45,131217,Quito #4,56825738
46,98090,Istanbul #1,56324451
47,103161,Tétouan #1,55814252
48,157357,Buenos Aires #1,54852053
49,157873,Montevideo #2,54825326
50,115309,Zapopan #6,54184886
51,157340,Puente Alto #2,53926943
52,128660,Cali #4,53830855
53,118681,Huế #3,53376504
54,155301,Córdoba #25,52499470
55,103875,Nagoya #1,52374075
56,106803,Jerusalem #3,51160846
57,114595,Shenzhen #2,50719991
58,115310,Zapopan #7,50541190
59,105280,Baghdad #2,50538679
60,106074,Tijuana #4,49902879
61,148669,Sorocaba #1,49207770
62,153784,Porto Alegre #2,48710263
63,111218,Ciudad Apodaca #2,48298083
64,156316,Santiago #5,46756688
65,98052,Barcelona #3,46450095
66,98555,Madrid #2,46046379
67,97027,Terrassa #1,45256081
68,86836,Kursk #7,44446122
69,102136,Sevilla #9,44289866
70,103744,Kirkuk #2,44274709
71,87296,London #2,44108450
72,139924,Huancayo #14,44086569
73,139411,Lima #1,43969306
74,115608,Haiphong #1,43675569
75,148162,Volta Redonda #1,43375064
76,150191,Asunción #11,42889618
77,88860,Kraków #3,42841483
78,99987,Washington #2,42825609
79,91912,Dijon #8,42196274
80,88325,Gent #3,42090165
81,103368,Chiba #1,41760043
82,156827,Viña del Mar #6,41539880
83,145602,Belo Horizonte #1,40798906
84,104385,Osaka #1,40517360
85,87307,Köln #2,40465378
86,115312,León de los Aldama #4,40294544
87,106801,Gaza #1,40187193
88,77082,Stockholm #6,40183499
89,123529,San José #1,40098183
90,88859,Katowice #2,39723102
